# date and time: 2022-05-23T10:01:54.776
# host: fluda.cs.umt.edu with 24  processes: 
# 8395.285683 seconds 
# funcs: Func[Func(&, 2, "AND"), Func(|, 2, "OR"), Func(xor, 2, "XOR"), Func(Main.CGP.Nand, 2, "NAND"), Func(Main.CGP.Nor, 2, "NOR")]
# use_lincircuit: true
# maxreps: 200
# iter_maxreps: 100
# numinputs: 4
# numoutputs: 1
# numinstructions: 10
# numregisters: 2
# max_steps: 600000
goal,numinputs,numoutputs,numinstructs,numregisters,maxsteps,ntries,nsuccesses,avg_steps,log_avg_steps,robustness,evo_count,nactive,complexity,degeneracy,sumsteps,sumtries
UInt16[0x23e4],4,1,10,2,600000,106.0,100.0,202665.07,5.30560262225475,0.24796666666666667,2019.0,0.0,8.02027085611224,0.0,0.0,0.0
UInt16[0x2451],4,1,10,2,600000,113.0,100.0,211289.925,5.318128633643248,0.23556666666666665,2675.0,0.0,7.923375427948776,0.0,0.0,0.0
UInt16[0x2455],4,1,10,2,600000,100.0,100.0,62276.41499999999,4.793821189453684,0.30310000000000004,1790.0,0.0,7.491878495603915,0.0,0.0,0.0
UInt16[0x248c],4,1,10,2,600000,101.0,100.0,81945.715,4.907838356310027,0.2791666666666667,1945.0,0.0,7.534143166560275,0.0,0.0,0.0
UInt16[0x24ee],4,1,10,2,600000,100.0,100.0,48047.925,4.676620492640476,0.27726666666666666,1962.0,0.0,7.762947857815137,0.0,0.0,0.0
UInt16[0x2568],4,1,10,2,600000,136.0,100.0,394959.005,5.596096478760407,0.1508,3298.0,0.0,8.277337186125086,0.0,0.0,0.0
UInt16[0x2590],4,1,10,2,600000,102.5,100.0,117765.32500000001,5.070980864474334,0.23626666666666668,2712.0,0.0,7.986052819258805,0.0,0.0,0.0
UInt16[0x25d1],4,1,10,2,600000,133.5,100.0,425868.78500000003,5.629197534395728,0.21626666666666666,2860.0,0.0,7.992401548413339,0.0,0.0,0.0
UInt16[0x2636],4,1,10,2,600000,100.0,100.0,49305.270000000004,4.692889707033855,0.4145333333333333,906.0,0.0,7.439974446400453,0.0,0.0,0.0
UInt16[0x2707],4,1,10,2,600000,100.0,100.0,22283.35,4.346143896760583,0.4376,1041.0,0.0,6.870309951636627,0.0,0.0,0.0
UInt16[0x2751],4,1,10,2,600000,122.5,100.0,298585.87,5.475046925219935,0.2046,2510.0,0.0,7.836664174755037,0.0,0.0,0.0
UInt16[0x2815],4,1,10,2,600000,103.5,100.0,128715.745,5.10941589705054,0.2573,1785.0,0.0,7.475183276354697,0.0,0.0,0.0
UInt16[0x2866],4,1,10,2,600000,100.5,100.0,52184.555,4.71010530180581,0.2918,1836.0,0.0,7.678599164884588,0.0,0.0,0.0
UInt16[0x2881],4,1,10,2,600000,150.0,89.5,605782.8658216784,5.782250660423353,0.2531809856809857,2036.0,0.0,6.952807106132826,0.0,0.0,0.0
UInt16[0x28d3],4,1,10,2,600000,103.5,100.0,161856.445,5.209054648012918,0.2997333333333333,1690.0,0.0,7.689448664022649,0.0,0.0,0.0
UInt16[0x290c],4,1,10,2,600000,100.5,100.0,58266.405,4.76483454375645,0.26503333333333334,1972.0,0.0,7.659437088580628,0.0,0.0,0.0
UInt16[0x291d],4,1,10,2,600000,115.5,100.0,256661.925,5.405550312786087,0.19996666666666668,2654.0,0.0,8.107288998934415,0.0,0.0,0.0
UInt16[0x2968],4,1,10,2,600000,106.0,100.0,188620.395,5.275538339815307,0.27956666666666663,1875.0,0.0,7.946987026431,0.0,0.0,0.0
UInt16[0x2a20],4,1,10,2,600000,100.0,100.0,5964.275,3.7683608763177703,0.4692,721.0,0.0,6.676259415055108,0.0,0.0,0.0
UInt16[0x2a2f],4,1,10,2,600000,100.0,100.0,15277.815,4.180689198806197,0.4328333333333333,1061.0,0.0,6.821750446069778,0.0,0.0,0.0
UInt16[0x2a7a],4,1,10,2,600000,100.0,100.0,22007.63,4.342237401754037,0.3514333333333333,1253.0,0.0,7.297509946982839,0.0,0.0,0.0
UInt16[0x2b14],4,1,10,2,600000,101.5,100.0,58826.825,4.767878310968525,0.26,2158.0,0.0,7.807623678044,0.0,0.0,0.0
UInt16[0x2b8a],4,1,10,2,600000,136.0,100.0,427128.58,5.6303528779664855,0.2779666666666667,1786.0,0.0,7.68849573018726,0.0,0.0,0.0
UInt16[0x2ba0],4,1,10,2,600000,103.5,100.0,175584.535,5.244280238754653,0.23593333333333333,2337.0,0.0,7.648683814229479,0.0,0.0,0.0
UInt16[0x2c1d],4,1,10,2,600000,103.5,100.0,139866.54499999998,5.145584538252656,0.2579,1733.0,0.0,7.860690845368347,0.0,0.0,0.0
UInt16[0x2ca9],4,1,10,2,600000,138.5,100.0,396941.145,5.597720640162759,0.19176666666666667,3058.0,0.0,8.134514135294326,0.0,0.0,0.0
UInt16[0x2e38],4,1,10,2,600000,113.5,100.0,272043.815,5.43411082999101,0.2205,2041.0,0.0,7.963052830138405,0.0,0.0,0.0
UInt16[0x2ed7],4,1,10,2,600000,105.0,100.0,148911.885,5.172887915473502,0.20056666666666667,2695.0,0.0,7.9702308734872505,0.0,0.0,0.0
UInt16[0x2f8a],4,1,10,2,600000,100.0,100.0,26940.91,4.429144738809422,0.3379333333333333,1513.0,0.0,7.45762153529296,0.0,0.0,0.0
UInt16[0x2fcc],4,1,10,2,600000,100.0,100.0,40113.155,4.60317409687546,0.3498,1255.0,0.0,7.466372893488843,0.0,0.0,0.0
UInt16[0x300d],4,1,10,2,600000,141.5,100.0,467192.08999999997,5.669343797027256,0.29983333333333334,1616.0,0.0,7.36380097772291,0.0,0.0,0.0
UInt16[0x3012],4,1,10,2,600000,100.0,100.0,15989.015000000001,4.1976991761794356,0.39816666666666667,1065.0,0.0,7.097915167005625,0.0,0.0,0.0
UInt16[0x30c6],4,1,10,2,600000,101.0,100.0,103577.51,5.0152355684109535,0.2696,1747.0,0.0,7.786029867363757,0.0,0.0,0.0
UInt16[0x31b8],4,1,10,2,600000,108.5,100.0,163134.76,5.21018022061439,0.2273,2228.0,0.0,7.68493281836877,0.0,0.0,0.0
UInt16[0x31c4],4,1,10,2,600000,100.0,100.0,39809.869999999995,4.5984582081156224,0.4372666666666667,1056.0,0.0,7.121638532354343,0.0,0.0,0.0
UInt16[0x3245],4,1,10,2,600000,100.5,100.0,51279.255,4.684898590188137,0.28159999999999996,1749.0,0.0,7.5498200794441805,0.0,0.0,0.0
UInt16[0x3284],4,1,10,2,600000,101.0,100.0,64886.235,4.812147593449856,0.29623333333333335,1396.0,0.0,7.97634547181934,0.0,0.0,0.0
UInt16[0x3377],4,1,10,2,600000,100.0,100.0,1191.675,3.0704912816486427,0.6797666666666666,437.0,0.0,6.363987948663573,0.0,0.0,0.0
UInt16[0x3514],4,1,10,2,600000,109.5,100.0,192217.885,5.281026295208758,0.254,2065.0,0.0,7.5724899363475,0.0,0.0,0.0
UInt16[0x358a],4,1,10,2,600000,100.0,100.0,49276.945,4.691348446287709,0.3097,1455.0,0.0,7.574490399568731,0.0,0.0,0.0
UInt16[0x35d4],4,1,10,2,600000,120.5,100.0,279889.935,5.446939404900586,0.2218,2628.0,0.0,7.668812000727107,0.0,0.0,0.0
UInt16[0x3780],4,1,10,2,600000,100.0,100.0,88946.51000000001,4.948701973721709,0.35263333333333335,1400.0,0.0,7.275416205708633,0.0,0.0,0.0
UInt16[0x3781],4,1,10,2,600000,150.0,70.0,872295.0075757576,5.940654111318084,0.1803890253890254,2522.0,0.0,5.537135419167617,0.0,0.0,0.0
UInt16[0x383a],4,1,10,2,600000,100.0,100.0,72306.54000000001,4.858056469219042,0.36219999999999997,1237.0,0.0,7.609589914292771,0.0,0.0,0.0
UInt16[0x38a2],4,1,10,2,600000,107.5,100.0,210688.925,5.323572823001292,0.19669999999999999,2772.0,0.0,7.915400748627308,0.0,0.0,0.0
UInt16[0x3916],4,1,10,2,600000,112.5,100.0,220218.95500000002,5.341232467900435,0.27216666666666667,1945.0,0.0,7.997504935053588,0.0,0.0,0.0
UInt16[0x396f],4,1,10,2,600000,106.5,100.0,120313.955,5.07222704227922,0.2348,2235.0,0.0,7.785825462944205,0.0,0.0,0.0
UInt16[0x3989],4,1,10,2,600000,103.5,100.0,176111.805,5.245261647792101,0.28846666666666665,1799.0,0.0,7.574310650297614,0.0,0.0,0.0
UInt16[0x3989],4,1,10,2,600000,104.5,100.0,181100.77000000002,5.257920283350288,0.2725666666666666,1798.0,0.0,7.587760529228904,0.0,0.0,0.0
UInt16[0x39d3],4,1,10,2,600000,100.0,100.0,56442.14,4.7403274936203665,0.3577666666666667,1353.0,0.0,7.519779579524666,0.0,0.0,0.0
UInt16[0x3bd6],4,1,10,2,600000,111.5,100.0,220273.885,5.342396999164414,0.2008,2507.0,0.0,8.104236122227992,0.0,0.0,0.0
UInt16[0x3c5f],4,1,10,2,600000,100.0,100.0,21739.015,4.336598500600385,0.3496666666666667,1539.0,0.0,7.4521377992105196,0.0,0.0,0.0
UInt16[0x3d08],4,1,10,2,600000,100.5,100.0,106883.12,5.028741646808827,0.24266666666666664,2084.0,0.0,7.803203493752301,0.0,0.0,0.0
UInt16[0x3d89],4,1,10,2,600000,129.5,100.0,303246.135,5.4817242443480305,0.176,3203.0,0.0,8.124720628886575,0.0,0.0,0.0
UInt16[0x3db9],4,1,10,2,600000,102.0,100.0,120833.81,5.080999385718596,0.2329,2327.0,0.0,7.748100784745778,0.0,0.0,0.0
UInt16[0x3f4a],4,1,10,2,600000,100.5,100.0,68597.59,4.833554081012455,0.3067,1621.0,0.0,7.483975054884786,0.0,0.0,0.0
UInt16[0x3f69],4,1,10,2,600000,105.5,100.0,91966.985,4.960249770007623,0.29723333333333335,1662.0,0.0,7.730774247238713,0.0,0.0,0.0
UInt16[0x3f84],4,1,10,2,600000,100.0,100.0,39311.494999999995,4.593817246431381,0.38143333333333335,1003.0,0.0,7.450004879548612,0.0,0.0,0.0
UInt16[0x407a],4,1,10,2,600000,100.0,100.0,65465.494999999995,4.811692778993907,0.25529999999999997,2043.0,0.0,7.610889519362624,0.0,0.0,0.0
UInt16[0x40d8],4,1,10,2,600000,103.5,100.0,166781.04499999998,5.219845543659085,0.26193333333333335,2041.0,0.0,7.341168028780239,0.0,0.0,0.0
UInt16[0x412a],4,1,10,2,600000,100.5,100.0,74877.33499999999,4.873852944900065,0.2768333333333334,1756.0,0.0,7.849922978697826,0.0,0.0,0.0
UInt16[0x4172],4,1,10,2,600000,102.0,100.0,60512.18,4.78095275894974,0.31903333333333334,1750.0,0.0,7.451340345241893,0.0,0.0,0.0
UInt16[0x41cf],4,1,10,2,600000,100.0,100.0,28340.08,4.452094660367543,0.3423666666666667,1580.0,0.0,7.237103164254451,0.0,0.0,0.0
UInt16[0x4309],4,1,10,2,600000,111.5,100.0,186306.065,5.270196263122834,0.2225,2825.0,0.0,7.929136416169143,0.0,0.0,0.0
UInt16[0x4372],4,1,10,2,600000,106.5,100.0,183623.845,5.262252066171484,0.22699999999999998,2215.0,0.0,7.696643331720139,0.0,0.0,0.0
UInt16[0x4386],4,1,10,2,600000,115.5,100.0,207033.505,5.315914714459465,0.20826666666666666,2341.0,0.0,7.982425559182833,0.0,0.0,0.0
